Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 27, 1e-15, 0), 1.7312117272473415)
((2, 26, 0.0001, 0), 1.7075016773260117)
((2, 27, 1e-14, 0), 1.7312117272473415)
((2, 26, 0.01, 0), 1.7074862666821482)
((2, 27, 1e-12, 0), 1.7312117272471923)
((2, 27, 1e-13, 0), 1.7312117272473415)
((2, 27, 1e-11, 0), 1.7312117272470355)
((2, 27, 1e-10, 0), 1.7312117272466654)
((2, 27, 1e-09, 0), 1.73121172724567)
((2, 27, 1e-08, 0), 1.7312117272314413)
((2, 27, 1e-07, 0), 1.7312117270898735)
((2, 27, 1e-06, 0), 1.7312117256770603)
((2, 27, 1e-05, 0), 1.7312117115480103)
((2, 27, 0.001, 0), 1.7312101573603969)
((2, 27, 0.01, 0), 1.731196029452385)
((2, 27, 0.0001, 0), 1.731211570257494)
((2, 27, 0.1, 0), 1.7310548561684869)
((2, 28, 1e-11, 0), 1.752913998906892)
((2, 28, 1e-15, 0), 1.75291399890684)
((2, 28, 1e-13, 0), 1.75291399890684)
((2, 28, 1e-14, 0), 1.75291399890684)
((2, 28, 1e-12, 0), 1.752913998906634)
((2, 28, 1e-10, 0), 1.752913998906499)
((2, 28, 1e-08, 0), 1.752913998891118)
((2, 28, 1e-09, 0), 1.7529139989050926)
((2, 28, 1e-06, 0), 1.752913997334891)
((2, 28, 1e-07, 0), 1.7529139987495235)
((2, 28, 0.0001, 0), 1.7529138417233774)
((2, 28, 1e-05, 0), 1.7529139831886336)
((2, 28, 0.001, 0), 1.7529124270848242)
((2, 28, 0.1, 0), 1.7527569236473384)
((2, 28, 0.01, 0), 1.75289828165714)
((2, 29, 1e-15, 0), 1.7702346561123683)
((2, 29, 1e-13, 0), 1.7702346561123683)
((2, 29, 1e-12, 0), 1.7702346561119184)
((2, 29, 1e-14, 0), 1.7702346561123683)
((2, 29, 1e-11, 0), 1.770234656112369)
((2, 29, 1e-10, 0), 1.770234656112216)
((2, 29, 1e-09, 0), 1.7702346561108755)
((2, 29, 1e-08, 0), 1.7702346560969153)
((2, 29, 1e-07, 0), 1.7702346559590083)
((2, 29, 1e-06, 0), 1.7702346545807734)
((2, 29, 0.0001, 0), 1.7702345029227502)
((2, 29, 1e-05, 0), 1.7702346407934892)
((2, 29, 0.001, 0), 1.7702331242250018)
((2, 29, 0.01, 0), 1.7702193381003943)
((2, 29, 0.1, 0), 1.7700815620525188)
((2, 30, 1e-15, 0), 1.7852809453191774)
