Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.3, 0.6, 0.1, 100), 109.00737866715305)
((0.3, 0.6, 0.001, 100), 60.376544602889496)
((0.3, 0.7, 1e-12, 100), 14.917586328575219)
((0.3, 0.7, 1e-08, 100), 0.006063586799865407)
((0.3, 0.7, 1e-11, 100), 0.08862558189630351)
((0.3, 0.7, 1e-05, 100), 2.624581931209314)
((0.3, 0.7, 1e-09, 100), 0.008112719141684198)
((0.3, 0.7, 1e-13, 100), 29.757916256101336)
((0.3, 0.8, 1e-05, 100), 3.25261544100137)
((0.3, 0.7, 1e-10, 100), 0.00268995235104081)
((0.3, 0.8, 1e-11, 100), 0.049526419831115866)
((0.3, 0.8, 0.01, 100), 50.48236595525557)
((0.3, 0.7, 0.0001, 100), 52.93802658625162)
((0.3, 0.7, 1e-06, 100), 0.597900384885009)
((0.3, 0.8, 1e-10, 100), 0.0030695029322931515)
((0.3, 0.7, 0.001, 100), 60.96890388006537)
((0.3, 0.9, 1e-06, 100), 0.8973523226578064)
((0.3, 0.8, 1e-08, 100), 0.022475372599757012)
((0.3, 0.7, 0.01, 100), 52.9388493918255)
((0.3, 0.8, 1e-06, 100), 0.6044714339620593)
((0.3, 0.8, 1e-12, 100), 0.1320586191987946)
((0.3, 0.8, 0.001, 100), 70.74394868522987)
((0.3, 0.8, 1e-07, 100), 0.019111084355433395)
((0.3, 0.8, 1e-09, 100), 0.021627999008606066)
((0.3, 0.7, 1e-07, 100), 0.03227537426882928)
((0.3, 0.7, 0.1, 100), 109.05432907385614)
((0.3, 0.9, 1e-08, 100), 0.05713409256322652)
((0.3, 0.9, 1e-10, 100), 0.007181596441780874)
((0.3, 0.8, 0.1, 100), 107.57877224523423)
((0.3, 0.9, 1e-09, 100), 0.06692848907691774)
((0.3, 0.9, 1e-11, 100), 0.0020985475808298344)
((0.3, 0.8, 0.0001, 100), 54.51427883137977)
((0.3, 0.7, 1e-14, 100), 179.78083171257708)
((0.3, 0.9, 1e-12, 100), 2.668822051269852)
((0.3, 0.8, 1e-13, 100), 14.550589200106847)
((0.3, 0.9, 1e-07, 100), 0.027270603532971564)
((0.3, 0.9, 1e-13, 100), 8.108775362507014)
((0.3, 0.7, 1e-15, 100), 204.16124754513407)
((0.3, 0.9, 1e-14, 100), 2.812708406433903e+22)
((0.3, 0.9, 1e-15, 100), 1.5593652725999122e+26)
((0.3, 0.8, 1e-14, 100), 3.0518448918383423e+24)
((0.3, 0.8, 1e-15, 100), 5.031153326994102e+26)
((0.3, 0.9, 1e-05, 100), 4.932685208286452)
((0.3, 0.9, 0.0001, 100), 59.870544631056326)
((0.3, 0.9, 0.001, 100), 74.68261811487204)
((0.3, 0.9, 0.01, 100), 54.77884344531882)
((0.3, 0.9, 0.1, 100), 104.58128790765637)
((0.4, 0.1, 1e-15, 100), 6166.8256682568945)
((0.4, 0.1, 1e-13, 100), 22.322224971669566)
((0.4, 0.1, 1e-12, 100), 0.0011709700142219378)
((0.4, 0.1, 1e-11, 100), 0.005840246245378095)
((0.4, 0.1, 0.0001, 100), 95.11700636962274)
((0.4, 0.1, 1e-10, 100), 0.025711860933854823)
((0.4, 0.1, 1e-05, 100), 86.52363880853756)
((0.4, 0.1, 1e-06, 100), 44.58097510622652)
((0.4, 0.1, 1e-09, 100), 0.081848577429248)
((0.4, 0.1, 1e-07, 100), 24.03071065213053)
((0.4, 0.1, 1e-08, 100), 0.14422864634543703)
((0.4, 0.1, 1e-14, 100), 167.17264368207273)
((0.4, 0.2, 1e-05, 100), 67.42161145758364)
((0.4, 0.2, 0.001, 100), 86.99199711234955)
((0.4, 0.2, 0.1, 100), 93.96441320025978)
((0.4, 0.2, 1e-11, 100), 0.005912990728644547)
((0.4, 0.3, 1e-06, 100), 0.44721511966092986)
((0.4, 0.3, 1e-12, 100), 0.08211303161607675)
((0.4, 0.1, 0.1, 100), 94.31338679895646)
((0.4, 0.2, 1e-12, 100), 0.022908232303270364)
((0.4, 0.3, 0.001, 100), 54.96360806012206)
((0.4, 0.3, 0.01, 100), 56.53117758543296)
((0.4, 0.2, 1e-10, 100), 0.0006772131243692001)
((0.4, 0.3, 0.0001, 100), 49.826363592697795)
((0.4, 0.3, 0.1, 100), 101.51206049778213)
((0.4, 0.3, 1e-05, 100), 25.61252712160255)
((0.4, 0.3, 1e-08, 100), 0.030319104826722024)
((0.4, 0.2, 1e-07, 100), 0.11341941092830349)
